8,10,14,15,4*10,8*9,9*10,9*19,9*20,10*14,10*20,13*14,8*9*14,9*10*19,9*10*20,9*15*19,10*14*20,Actual Energy,energy-only two way,energy-three way,three way-actual,two way-actual
1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.454,0.458,0.458,0.004,0.004
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.551,0.55,0.55,0.001,0.001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491,0.496,0.496,0.005,0.005
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.549,0.55,0.55,0.001,0.001
1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.278,0.272,0.272,0.006,0.006
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824,0.815,0.815,0.009,0.009
1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.267,0.272,0.272,0.005,0.005
1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0.876,0.878,0.826,0.05,0.002
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.217,0.218,0.218,0.001,0.001
1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.75,0.743,0.743,0.007,0.007
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543,0.535,0.535,0.008,0.008
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.265,0.265,0.005,0.005
1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0.334,0.34,0.267,0.067,0.006
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446,0.444,0.444,0.002,0.002
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,0.174,0.174,0.002,0.002
1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.474,0.478,0.478,0.004,0.004
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.728,0.724,0.724,0.004,0.004
0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.417,0.407,0.407,0.01,0.01
0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.508,0.515,0.515,0.007,0.007
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543,0.535,0.535,0.008,0.008
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.827,0.83,0.81,0.017,0.003
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.626,0.616,0.616,0.01,0.01
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.555,0.55,0.55,0.005,0.005
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.661,0.67,0.67,0.009,0.009
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434,0.444,0.444,0.01,0.01
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533,0.535,0.535,0.002,0.002
1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0.452,0.461,0.441,0.011,0.009
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445,0.444,0.444,0.001,0.001
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489,0.483,0.483,0.006,0.006
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.764,0.763,0.763,0.001,0.001
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.804,0.795,0.795,0.009,0.009
0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.414,0.407,0.407,0.007,0.007
1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.958,0.95,0.93,0.028,0.008
1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0.51,0.513,0.493,0.017,0.003
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532,0.535,0.535,0.003,0.003
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.496,0.498,0.498,0.002,0.002
1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0.636,0.637,0.576,0.06,0.001
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.444,0.444,0.004,0.004
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.494,0.498,0.498,0.004,0.004
0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.697,0.704,0.704,0.007,0.007
0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.694,0.704,0.704,0.01,0.01
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207,0.213,0.213,0.006,0.006
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.834,0.83,0.81,0.024,0.004
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.186,0.194,0.194,0.008,0.008
0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.167,0.166,0.166,0.001,0.001
1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.75,0.743,0.743,0.007,0.007
1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0.533,0.537,0.517,0.016,0.004
1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0.925,0.93,0.91,0.015,0.005
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.797,0.795,0.795,0.002,0.002
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.226,0.226,0.004,0.004
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492,0.483,0.483,0.009,0.009
0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0.432,0.431,0.431,0.001,0.001
1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0.642,0.633,0.572,0.07,0.009
