8,10,14,15,4*10,8*9,9*10,9*19,9*20,10*14,10*20,13*14,8*9*14,9*10*19,9*10*20,9*15*19,10*14*20,Actual Energy,energy-only two way,energy-three way,three way-actual,two way-actual,energy one way,,
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.597,0.616,0.616,0.019,0.019,0.496,,0.654009375
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801,0.776,0.776,0.025,0.025,0.776,,0.568611979
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.624,0.848,0.848,0.224,0.224,0.776,,0.548663672
1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.454,0.458,0.458,0.004,0.004,0.493,,0.491342839
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508,0.815,0.815,0.307,0.307,0.815,,
1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.595,0.554,0.554,0.041,0.041,0.545,,
1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0.851,0.898,0.846,0.005,0.047,0.763,,
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.547,0.564,0.532,0.015,0.017,0.444,,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.355,0.568,0.568,0.213,0.213,0.496,,
0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0.296,0.559,0.538,0.242,0.263,0.454,,
1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0.423,0.845,0.72,0.297,0.422,0.545,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555,0.496,0.496,0.059,0.059,0.496,,
1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0.579,0.882,0.862,0.283,0.303,0.815,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201,0.496,0.496,0.295,0.295,0.496,,
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.541,0.498,0.498,0.043,0.043,0.483,,
0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.569,0.491,0.491,0.078,0.078,0.506,,
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.195,0.142,0.142,0.053,0.053,0.174,,
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.551,0.55,0.55,0.001,0.001,0.535,,
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.833,0.795,0.795,0.038,0.038,0.815,,
1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0.294,0.316,0.243,0.051,0.022,0.213,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491,0.496,0.496,0.005,0.005,0.496,,
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.576,0.564,0.532,0.044,0.012,0.444,,
1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0.492,0.461,0.441,0.051,0.031,0.493,,
0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0.313,0.583,0.562,0.249,0.27,0.454,,
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.54,0.498,0.498,0.042,0.042,0.483,,
0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0.139,0.43,0.387,0.248,0.291,0.226,,
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.07,0.314,0.314,0.244,0.244,0.174,,
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.549,0.55,0.55,0.001,0.001,0.535,,
1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0.593,0.97,0.918,0.325,0.377,0.763,,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247,0.444,0.444,0.197,0.197,0.444,,
0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0.301,0.636,0.604,0.303,0.335,0.444,,
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.595,0.848,0.848,0.253,0.253,0.776,,
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547,0.483,0.483,0.064,0.064,0.483,,
0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0.134,0.474,0.358,0.224,0.34,0.174,,
1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0.537,0.85,0.83,0.293,0.313,0.763,,
0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0.428,0.815,0.71,0.282,0.387,0.506,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.526,0.496,0.496,0.03,0.03,0.496,,
0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.493,0.471,0.471,0.022,0.022,0.506,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596,0.535,0.535,0.061,0.061,0.535,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295,0.535,0.535,0.24,0.24,0.535,,
1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.312,0.57,0.57,0.258,0.258,0.483,,
1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.188,0.377,0.377,0.189,0.189,0.213,,
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.316,0.237,0.237,0.079,0.079,0.213,,
1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.541,0.502,0.502,0.039,0.039,0.493,,
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825,0.776,0.776,0.049,0.049,0.776,,
1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0.207,0.484,0.441,0.234,0.277,0.265,,
1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0.323,0.618,0.597,0.274,0.295,0.493,,
1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0.355,0.705,0.621,0.266,0.35,0.545,,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.309,0.568,0.568,0.259,0.259,0.496,,
1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0.526,0.85,0.83,0.304,0.324,0.763,,
1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.604,0.902,0.882,0.278,0.298,0.815,,
1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.51,0.743,0.743,0.233,0.233,0.763,,
0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0.774,0.824,0.792,0.018,0.05,0.724,,
1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0.358,0.642,0.621,0.263,0.284,0.493,,
0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0.449,0.791,0.686,0.237,0.342,0.506,,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.348,0.568,0.568,0.22,0.22,0.496,,
1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.278,0.272,0.272,0.006,0.006,0.265,,
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.344,0.688,0.688,0.344,0.344,0.496,,
1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0.28,0.604,0.52,0.24,0.324,0.265,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.496,0.496,0.016,0.016,0.496,,
1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0.377,0.316,0.243,0.134,0.061,0.213,,
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.805,0.756,0.756,0.049,0.049,0.776,,
1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0.307,0.793,0.636,0.329,0.486,0.493,,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213,0.444,0.444,0.231,0.231,0.444,,
0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.599,0.471,0.471,0.128,0.128,0.506,,
1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0.165,0.432,0.389,0.224,0.267,0.213,,
0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.439,0.471,0.471,0.032,0.032,0.506,,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.444,0.444,0.056,0.056,0.444,,
0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.539,0.439,0.439,0.1,0.1,0.454,,
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824,0.815,0.815,0.009,0.009,0.815,,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.27,0.568,0.568,0.298,0.298,0.496,,
1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0.182,0.46,0.417,0.235,0.278,0.265,,
1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0.845,0.878,0.826,0.019,0.033,0.763,,
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.829,0.776,0.776,0.053,0.053,0.776,,
1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.438,0.742,0.742,0.304,0.304,0.535,,
1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.267,0.272,0.272,0.005,0.005,0.265,,
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.33,0.817,0.66,0.33,0.487,0.493,,
0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0.613,0.948,0.948,0.335,0.335,0.776,,
0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0.364,0.338,0.297,0.067,0.026,0.226,,
1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.431,0.743,0.743,0.312,0.312,0.763,,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.296,0.568,0.568,0.272,0.272,0.496,,
1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0.196,0.484,0.441,0.245,0.288,0.265,,
0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0.297,0.611,0.59,0.293,0.314,0.506,,
1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0.365,0.674,0.653,0.288,0.309,0.545,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.527,0.496,0.496,0.031,0.031,0.496,,
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.153,0.39,0.39,0.237,0.237,0.226,,
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.81,0.844,0.812,0.002,0.034,0.724,,
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.314,0.237,0.237,0.077,0.077,0.213,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0.496,0.496,0.251,0.251,0.496,,
0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0.341,0.286,0.213,0.128,0.055,0.174,,
1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0.876,0.878,0.826,0.05,0.002,0.763,,
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364,0.265,0.265,0.099,0.099,0.265,,
1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.3,0.272,0.272,0.028,0.028,0.265,,
0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0.234,0.619,0.555,0.321,0.385,0.454,,
0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0.39,0.635,0.614,0.224,0.245,0.506,,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.349,0.568,0.568,0.219,0.219,0.496,,
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.764,0.724,0.724,0.04,0.04,0.724,,
1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0.13,0.432,0.389,0.259,0.302,0.213,,
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845,0.776,0.776,0.069,0.069,0.776,,
0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0.653,0.948,0.948,0.295,0.295,0.776,,
1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.227,0.196,0.196,0.031,0.031,0.213,,
0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0.571,0.551,0.478,0.093,0.02,0.454,,
1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.167,0.353,0.353,0.186,0.186,0.213,,
1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.388,0.67,0.649,0.261,0.282,0.545,,
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.217,0.218,0.218,0.001,0.001,0.226,,
1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.161,0.377,0.377,0.216,0.216,0.213,,
1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0.387,0.34,0.267,0.12,0.047,0.213,,
1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0.335,0.673,0.589,0.254,0.338,0.493,,
1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.631,0.902,0.882,0.251,0.271,0.815,,
1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0.849,0.898,0.846,0.003,0.049,0.763,,
1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.382,0.57,0.57,0.188,0.188,0.483,,
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.762,0.724,0.724,0.038,0.038,0.724,,
1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0.258,0.604,0.52,0.262,0.346,0.265,,
1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0.376,0.845,0.72,0.344,0.469,0.545,,
0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0.361,0.655,0.634,0.273,0.294,0.506,,
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.675,0.616,0.616,0.059,0.059,0.496,,
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.37,0.622,0.622,0.252,0.252,0.535,,
