7,8,9,12,13,14,4*10,9*19,9*20,10*20,13*14,14*15,8*9*14,9*10*19,9*10*20,9*15*19,10*14*20,Activation Barrier (eV),Only two way,only three way,,,,,,
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.386,0.436,0.436,,,,,,
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.589,0.554,0.554,,,,,,
0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.470,0.592,0.592,,,,,,
1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0.300,0.3,0.3,,,,,,
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.395,0.628,0.628,,,,,,
1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.515,0.418,0.418,,,,,,
1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0.524,0.603,0.566,,,,,,
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.332,0.36,0.341,,,,,,
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.291,0.423,0.423,,,,,,
0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0.155,0.336,0.309,,,,,,
1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0.278,0.63,0.511,,,,,,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415,0.374,0.374,,,,,,
1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0.431,0.644,0.626,,,,,,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,0.374,0.374,,,,,,
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.420,0.35,0.35,,,,,,
0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.371,0.324,0.324,,,,,,
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.132,0.035,0.035,,,,,,
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379,0.415,0.415,,,,,,
1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0.630,0.606,0.606,,,,,,
1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0.179,0.193,0.138,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397,0.385,0.385,,,,,,
0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0.369,0.349,0.33,,,,,,
1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0.372,0.289,0.271,,,,,,
0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0.148,0.356,0.329,,,,,,
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.407,0.35,0.35,,,,,,
0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0.076,0.312,0.274,,,,,,
0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.020,0.189,0.189,,,,,,
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395,0.426,0.426,,,,,,
1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0.380,0.674,0.637,,,,,,
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.145,0.298,0.298,,,,,,
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.283,0.276,0.276,,,,,,
0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0.201,0.358,0.331,,,,,,
0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0.260,0.235,0.235,,,,,,
1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0.035,0.29,0.252,,,,,,
1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0.189,0.41,0.383,,,,,,
0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0.350,0.556,0.455,,,,,,
0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0.295,0.349,0.33,,,,,,
1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0.614,0.53,0.53,,,,,,
0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0.099,0.42,0.401,,,,,,
1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.287,0.162,0.162,,,,,,
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.478,0.434,0.415,,,,,,
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-9999.000,0.309,0.309,,,,,,
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.205,0.383,0.383,,,,,,
1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0.230,0.452,0.425,,,,,,
0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.084,0.336,0.336,,,,,,
1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0.340,0.371,0.298,,,,,,
1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0.730,0.606,0.606,,,,,,
0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0.267,0.456,0.456,,,,,,
1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0.135,0.397,0.359,,,,,,
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.128,0.079,0.079,,,,,,
0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,-9999.000,0.676,0.676,,,,,,
0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.434,0.478,0.478,,,,,,
0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.441,0.344,0.344,,,,,,
0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.029,0.209,0.209,,,,,,
1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.299,0.173,0.173,,,,,,
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232,0.374,0.374,,,,,,
0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.476,0.478,0.478,,,,,,
1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0.646,0.606,0.606,,,,,,
1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0.397,0.376,0.376,,,,,,
1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.290,0.41,0.41,,,,,,
1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.208,0.162,0.162,,,,,,
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.324,0.339,0.339,,,,,,
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.188,0.153,0.153,,,,,,
0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0.286,0.193,0.193,,,,,,
0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0.073,0.376,0.302,,,,,,
1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.119,0.12,0.12,,,,,,
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402,0.415,0.415,,,,,,
0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0.112,0.358,0.331,,,,,,
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.300,0.36,0.341,,,,,,
0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0.237,0.213,0.213,,,,,,
1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.247,0.41,0.41,,,,,,
1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0.186,0.213,0.158,,,,,,
0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,-9999.000,0.583,0.583,,,,,,
0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0.449,0.353,0.317,,,,,,
1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0.550,0.644,0.626,,,,,,
1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0.512,0.519,0.501,,,,,,
0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0.147,0.42,0.401,,,,,,
1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,-9999.000,0.469,0.415,,,,,,
0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.056,0.178,0.178,,,,,,
1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0.203,0.505,0.486,,,,,,
1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.388,0.238,0.238,,,,,,
1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0.417,0.385,0.367,,,,,,
0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.152,0.164,0.164,,,,,,
0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.326,0.291,0.291,,,,,,
1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.532,0.552,0.552,,,,,,
0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0.546,0.532,0.532,,,,,,
0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0.312,0.454,0.427,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419,0.459,0.459,,,,,,
0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.227,0.215,0.215,,,,,,
1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.570,0.552,0.552,,,,,,
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.175,0.079,0.079,,,,,,
